,nox,nox_categoria
935,28.21623333333333,Bajo
936,23.51406666666667,Bajo
937,21.37475,Bajo
938,13.809333333333331,Bajo
939,14.2892,Bajo
940,12.704766666666666,Bajo
941,9.98575,Bajo
942,19.24195,Bajo
943,27.3855,Bajo
944,41.09655,Medio
945,52.224,Medio
946,33.30546666666667,Medio
947,31.9224,Medio
948,26.5255,Bajo
949,18.400866666666666,Bajo
950,20.9981,Bajo
951,18.4447,Bajo
952,21.57903333333333,Bajo
953,20.9091,Bajo
954,23.17803333333333,Bajo
955,28.19055,Bajo
956,25.769333333333336,Bajo
957,27.9252,Bajo
958,26.589233333333336,Bajo
959,22.2536,Bajo
960,22.59913333333333,Bajo
961,18.54533333333333,Bajo
962,17.168066666666665,Bajo
963,12.677333333333332,Bajo
964,11.729166666666666,Bajo
965,15.829933333333337,Bajo
966,16.1983,Bajo
967,17.06955,Bajo
968,25.575266666666664,Bajo
969,26.0655,Bajo
970,22.120566666666665,Bajo
971,19.03463333333333,Bajo
972,16.557266666666667,Bajo
973,14.3625,Bajo
974,11.9789,Bajo
975,9.490366666666668,Bajo
976,9.521333333333333,Bajo
977,10.410133333333333,Bajo
978,15.747466666666668,Bajo
979,18.112566666666662,Bajo
980,25.4277,Bajo
981,32.89955,Medio
982,27.9021,Bajo
983,19.7605,Bajo
984,17.01245,Bajo
985,16.0658,Bajo
986,19.4299,Bajo
987,12.096049999999998,Bajo
988,7.5536,Bajo
989,9.11935,Bajo
990,14.882650000000002,Bajo
991,42.98309999999999,Medio
992,63.41499999999999,Alto
993,71.50355,Alto
994,50.4526,Medio
995,33.04546666666666,Medio
996,19.6493,Bajo
997,16.961033333333333,Bajo
998,16.28826666666667,Bajo
999,13.25815,Bajo
1000,25.589066666666668,Bajo
1001,31.098166666666668,Bajo
1002,35.5925,Medio
1003,32.3935,Medio
1004,28.17186666666667,Bajo
1005,26.99115,Bajo
1006,33.21435,Medio
1007,28.90415,Bajo
1008,17.2665,Bajo
1009,12.386133333333332,Bajo
1010,10.6569,Bajo
1011,7.71885,Bajo
1012,8.57335,Bajo
1013,13.4897,Bajo
1014,20.6044,Bajo
1015,35.905033333333336,Medio
1016,53.99425,Alto
1017,61.895,Alto
1018,100.7465,Alto
1019,113.691,Alto
1020,43.002133333333326,Medio
1021,24.566900000000004,Bajo
1022,16.79733333333333,Bajo
1023,14.364,Bajo
1024,22.61253333333333,Bajo
1025,25.605866666666667,Bajo
1026,30.973366666666667,Bajo
1027,34.1354,Medio
1028,47.51565,Medio
1029,32.39565,Medio
1030,24.785866666666667,Bajo
1031,24.9911,Bajo
1032,25.7132,Bajo
1033,16.203466666666667,Bajo
1034,13.386766666666666,Bajo
1035,12.1694,Bajo
1036,9.2813,Bajo
1037,12.14715,Bajo
1038,20.9919,Bajo
1039,23.6305,Bajo
1040,53.7426,Alto
1041,62.97335,Alto
1042,43.00893333333334,Medio
1043,25.273,Bajo
1044,25.7438,Bajo
1045,17.76635,Bajo
1046,17.3553,Bajo
1047,16.310866666666666,Bajo
1048,23.535833333333333,Bajo
1049,21.705066666666667,Bajo
1050,21.360133333333334,Bajo
1051,22.42973333333333,Bajo
1052,20.712566666666664,Bajo
1053,29.688566666666663,Bajo
1054,30.99523333333333,Bajo
1055,31.5231,Bajo
1056,20.7855,Bajo
1057,20.2063,Bajo
1058,14.903099999999998,Bajo
1059,8.371933333333333,Bajo
1060,6.965,Bajo
1061,6.878299999999999,Bajo
1062,10.55245,Bajo
1063,32.5861,Medio
1064,52.49863333333334,Medio
1065,69.22696666666667,Alto
1066,59.1213,Alto
1067,48.11003333333334,Medio
1068,11.4092,Bajo
1069,24.3162,Bajo
1070,19.0356,Bajo
1071,16.6907,Bajo
1072,16.291166666666665,Bajo
1073,18.7015,Bajo
1074,30.504966666666665,Bajo
1075,37.11386666666666,Medio
1076,33.52823333333333,Medio
1077,45.7637,Medio
