,no,no_sqrt
2990,3.4250666666666665,1.8506935636854271
2991,4.2563,2.063080221416511
2992,3.774133333333333,1.9427128797980757
2993,7.522066666666667,2.7426386321691503
2994,4.059433333333334,2.0148035470817827
2995,5.31245,2.3048752677748094
2996,6.0787,2.465501977285762
2997,6.37195,2.524272172330076
2998,8.1229,2.850070174574654
2999,13.0994,3.6193093263770644
3000,12.064,3.4733269353747858
3001,9.5059,3.0831639593119275
3002,6.118133333333334,2.4734860689588154
3003,6.923333333333335,2.6312227829154518
3004,9.0051,3.0008498796174394
3005,11.173466666666668,3.342673580633722
3006,27.38815,5.233368895845199
3007,52.80725,7.2668597069160485
3008,75.0496,8.663117221878046
3009,77.217,8.787320410682655
3010,36.33306666666667,6.027691653250576
3011,14.289966666666666,3.780207225360359
3012,7.987566666666667,2.826228346518849
3013,9.5573,3.0914883147118637
3014,10.0723,3.1736887055916494
3015,12.338033333333334,3.5125536769326864
3016,14.892966666666666,3.8591406642757486
3017,10.5627,3.2500307690851176
3018,7.464866666666666,2.73219081812868
3019,27.33195,5.227996748277489
3020,28.93195,5.3788428123528575
3021,30.7998,5.549756751426138
3022,26.33225,5.1314958832683475
3023,21.292900000000003,4.614423040857871
3024,12.98855,3.6039630963704385
3025,10.762099999999998,3.280563975904143
3026,7.182799999999999,2.6800746258266765
3027,7.042466666666667,2.653764621564367
3028,9.798966666666669,3.1303301210362253
3029,19.249366666666667,4.387410018070646
3030,35.65166666666667,5.970901662786507
3031,56.9234,7.544759770860832
3032,68.4037,8.270652936739639
3033,64.40215,8.025095015013841
3034,47.68045,6.905103185326053
3035,23.116266666666665,4.807937880907642
3036,9.5934,3.0973214234237947
3037,4.583633333333333,2.1409421602026835
3038,5.2639000000000005,2.2943190710971306
3039,3.868266666666667,1.9667909565245278
3040,9.401733333333333,3.0662246058195626
3041,10.400833333333331,3.2250322995798557
3042,14.856333333333334,3.8543914348873978
3043,21.4571,4.632180911838397
3044,22.41615,4.734569674215387
3045,23.8583,4.884495879822195
3046,28.22265,5.312499411764674
3047,20.70285,4.5500384613759035
3048,15.6024,3.949987341751869
3049,9.424466666666667,3.069929423727306
3050,7.553933333333333,2.748441982893824
3051,8.3515,2.8898961919072454
3052,9.228366666666666,3.037822685191923
3053,14.601666666666665,3.8212127219858703
3054,36.0987,6.008219370162844
3055,71.84519999999999,8.476154788581907
3056,30.6726,5.53828493308172
3057,53.58086666666666,7.3198952633672745
3058,43.24933333333333,6.576422533059546
3059,10.01605,3.1648143705437133
3060,19.1409,4.375031428458543
3061,14.691199999999998,3.8329101215655967
3062,10.2415,3.20023436641756
3063,15.892283333333332,3.9865126781854503
3064,21.543066666666665,4.641450922574391
3065,31.7189,5.63195347992151
3066,35.26645,5.938556221843824
3067,46.03865,6.785178700668096
3068,2.4943,1.5793353032209467
3069,3.7739,1.942652825391094
3070,19.0115,4.360217884464032
3071,29.436,5.42549536908843
3072,25.7719,5.076603195050801
3073,22.6288,4.756973827970888
3074,23.3542,4.832618337919931
3075,33.4655,5.78493733760358
3076,31.1165,5.578216560873197
3077,65.6239,8.100857979251334
3078,75.28645,8.676776475166339
3079,92.94995,9.64105544014762
3080,46.3899,6.811013140495326
3081,67.6482,8.224852582265532
3082,66.1302,8.132047712599823
3083,31.543066666666665,5.616321453288323
3084,15.487699999999998,3.9354415254199875
3085,9.250166666666669,3.041408664856906
3086,11.831600000000002,3.43970929004182
3087,16.3309,4.041150826188005
3088,16.73046666666667,4.09028931332084
3089,30.932,5.561654430113399
3090,40.97135,6.400886657331155
3091,45.07516666666667,6.71380418739381
3092,53.99563333333333,7.348172108309204
3093,42.497166666666665,6.5189850948339085
3094,35.4411,5.953242813794848
3095,39.4577,6.281536436255067
3096,29.98013333333333,5.475411704459614
3097,23.266666666666666,4.823553323709262
3098,20.37806666666667,4.5142072024516855
3099,17.458666666666666,4.178356933851711
3100,15.558099999999998,3.9443757427506823
3101,20.381166666666665,4.514550549796366
3102,34.89516666666666,5.907213104896983
3103,64.14463333333335,8.00903448196681
3104,69.18803333333334,8.317934439110068
3105,95.1114,9.752507369902368
3106,63.432500000000005,7.96445227244159
3107,47.72545,6.908360876503195
3108,36.69385,6.0575448822109434
3109,33.99915,5.830879007491066
3110,19.0861,4.368764127301907
3111,20.18985,4.493311696288162
3112,20.8346,4.564493400148586
3113,24.368366666666663,4.936432585042225
3114,29.7242,5.451990462207358
3115,37.2839,6.10605437250603
3116,37.4107,6.1164286965516075
3117,39.54076666666666,6.288144930475654
3118,40.77896666666667,6.385841108786427
3119,39.1441,6.256524594373461
3120,28.7035,5.3575647452923985
3121,23.799366666666668,4.8784594562901376
3122,15.987366666666668,3.9984205214892876
3123,11.9023,3.4499710143709903
3124,12.625233333333332,3.553200435288352
3125,13.801233333333334,3.7150011215790144
3126,20.95973333333333,4.57818013334265
3127,34.63476666666667,5.885130981266829
3128,49.124433333333336,7.008882459660266
3129,48.3958,6.956708992045018
3130,38.74446666666667,6.224505335098257
3131,30.999166666666667,5.567689526784577
3132,16.584933333333336,4.07246035380743
3133,8.9664,2.994394763554064
3134,15.0844,3.883864055293388
3135,19.626566666666665,4.4301881073682035
3136,17.391266666666667,4.1702837633267436
3137,21.5883,4.646321125363593
3138,22.13,4.70425339453563
3139,26.4064,5.138715792880552
3140,27.945666666666668,5.286366111675076
3141,37.76963333333333,6.145700394042434
3142,42.37353333333333,6.50949562818298
3143,38.57253333333333,6.210678975227534
3144,25.18936666666667,5.01890094210542
3145,18.195166666666665,4.265579288521861
3146,18.413466666666668,4.291091547225096
3147,17.299566666666667,4.159274776528556
3148,19.08343333333333,4.368458919725963
3149,24.049766666666667,4.904056144322439
3150,28.926200000000005,5.378308284209822
3151,37.924933333333335,6.158322282353639
3152,37.3786,6.113804053124372
3153,32.68386666666667,5.716980555036606
3154,21.732666666666663,4.661830827761413
3155,15.899466666666669,3.9874135309328866
3156,11.299333333333337,3.3614481006455144
3157,8.6681,2.944163718273833
3158,4.392766666666667,2.095892808963919
3159,2.8541666666666665,1.689427911059441
3160,2.825833333333333,1.681021514833565
3161,6.0076,2.451040595339049
3162,12.4146,3.523435823170333
3163,16.157033333333334,4.019581238553754
3164,19.797166666666666,4.4494007087097325
3165,23.30366666666667,4.8273871469633205
3166,23.995,4.898469148621842
3167,32.51783333333333,5.702440997795009
3168,37.83146666666666,6.150728954088828
3169,39.65463333333333,6.297192496131378
3170,37.717866666666666,6.141487333428822
3171,37.20946666666666,6.099956283996358
3172,30.2396,5.499054464178364
3173,36.03443333333333,6.002868758629772
3174,47.040533333333336,6.858610160472261
3175,60.6235,7.786109426408031
3176,72.35096666666666,8.505937142177025
3177,61.183400000000006,7.821981846054106
3178,40.24283333333333,6.343723932622962
3179,28.989866666666668,5.384223868550292
3180,11.073100000000002,3.327626781957376
3181,9.495033333333334,3.081401196425635
3182,15.235566666666664,3.9032764015204795
3183,26.3809,5.136234028935987
3184,16.607633333333336,4.075246413817616
3185,16.4236,4.052604101068843
3186,20.737066666666667,4.553796950531135
3187,37.63396666666666,6.134652937751789
3188,47.2861,6.876488929679157
3189,35.079966666666664,5.922834344016947
3190,28.530933333333337,5.341435512419235
3191,31.419833333333333,5.605339716139722
3192,29.816133333333337,5.460415124634146
3193,20.0164,4.473969155012135
3194,18.243566666666663,4.271248841576274
3195,20.202066666666667,4.4946709186175875
3196,2.9130000000000003,1.7067512999848573
3197,32.91906666666667,5.73751397964891
3198,51.6546,7.187113467867333
3199,42.47115,6.516989335575132
3200,32.64715,5.713768458731943
3201,23.9739,4.8963149408509254
3202,25.3595,5.035821680719046
3203,9.78415,3.12796259568429
3204,5.9933,2.4481217289996016
3205,23.306,4.827628817545939
3206,16.959233333333334,4.118158973781043
3207,15.4306,3.9281802402639316
3208,18.697733333333336,4.324087572347874
3209,23.7361,4.871970853771603
3210,18.776533333333333,4.3331897412106635
3211,21.685766666666662,4.6567978984133145
3212,24.3167,4.931196609343416
3213,28.360466666666664,5.325454597183856
3214,23.49383333333333,4.8470437725827615
3215,19.22063333333333,4.384134274099429
3216,16.345766666666666,4.0429898177792465
3217,14.0599,3.749653317308148
3218,12.760166666666668,3.572137548676796
